Reporting_Airline,scheduled_flights,eligible_arrivals,delayed_arrivals,cancelled_flights,diverted_flights,arrival_delay_rate,cancellation_rate,diversion_rate
AA,973653,952841,244989,17679,3133,0.2571142509610732,0.018157392828862,0.0032177788185318
AS,245588,241927,55887,2974,687,0.2310077006700368,0.0121097122009218,0.002797367949574
B6,231413,226703,59288,3825,885,0.2615227853182357,0.01652888990679,0.0038243313901984
DL,1026332,1012427,200402,11114,2791,0.1979421726208408,0.0108288546006555,0.0027193929449729
F9,198065,194192,54202,3508,365,0.2791155145423086,0.0177113573826774,0.0018428293741953
G4,130899,129892,32428,615,392,0.2496535583407754,0.0046982788256594,0.0029946752839975
HA,80084,79335,13710,660,89,0.172811495556816,0.0082413465860846,0.0011113331002447
MQ,299322,291835,61400,6713,774,0.2103928589785323,0.0224273524832788,0.0025858440074568
NK,194515,191191,40931,2927,397,0.2140843449743973,0.0150476826979924,0.0020409737038274
OH,248735,236682,65158,11394,659,0.2752976567715331,0.0458077874042655,0.0026494059943313
OO,839821,825202,170996,11843,2776,0.2072171419846292,0.0141018145533393,0.0033054662838866
UA,795271,786377,168815,6527,2367,0.2146743864584035,0.0082072651963921,0.0029763439129554
WN,1391885,1376837,294575,11799,3249,0.213950525733983,0.0084769934297732,0.0023342445676187
YX,346036,334043,71857,11298,694,0.2151130243711139,0.0326497821035961,0.0020055716746234
