OriginAirportID,Origin,scheduled_flights,eligible_arrivals,delayed_arrivals,cancelled_flights,diverted_flights,arrival_delay_rate,cancellation_rate,diversion_rate
10135,ABE,3037,2981,518,39,17,0.1737671922173767,0.0128416200197563,0.0055976292393809
10136,ABI,1761,1718,312,41,2,0.1816065192083818,0.02328222600795,0.0011357183418512
10140,ABQ,25207,24902,4151,235,70,0.1666934382780499,0.0093228071567421,0.0027770063871146
10141,ABR,754,748,78,6,0,0.1042780748663101,0.0079575596816976,0.0
10146,ABY,890,871,141,18,1,0.1618828932261768,0.0202247191011235,0.0011235955056179
10154,ACK,1582,1506,425,73,3,0.2822045152722444,0.0461441213653603,0.0018963337547408
10155,ACT,1090,1039,230,50,1,0.2213666987487969,0.0458715596330275,0.0009174311926605
10157,ACV,1985,1957,439,19,9,0.2243229432805314,0.0095717884130982,0.0045340050377833
10158,ACY,2671,2643,387,23,5,0.1464245175936435,0.0086110071134406,0.0018719580681392
10165,ADK,105,97,16,8,0,0.1649484536082474,0.0761904761904762,0.0
10170,ADQ,864,832,134,32,0,0.1610576923076923,0.037037037037037,0.0
10185,AEX,1106,1054,253,52,0,0.2400379506641366,0.0470162748643761,0.0
10208,AGS,2298,2230,510,64,4,0.2286995515695067,0.0278503046127067,0.0017406440382941
10245,AKN,166,165,13,1,0,0.0787878787878787,0.0060240963855421,0.0
10257,ALB,12595,12318,2737,232,45,0.2221951615522,0.0184200079396585,0.0035728463676061
10268,ALO,390,380,113,9,1,0.2973684210526315,0.023076923076923,0.0025641025641025
10279,AMA,5227,5107,1000,100,20,0.1958096729978461,0.0191314329443275,0.0038262865888655
10299,ANC,18860,18609,3027,210,41,0.1626632274705787,0.0111346765641569,0.0021739130434782
10333,APN,628,602,85,26,0,0.1411960132890365,0.0414012738853503,0.0
10372,ASE,7685,7207,2476,443,35,0.3435548772027196,0.0576447625243981,0.0045543266102797
10397,ATL,314433,309064,74040,4536,833,0.2395620324592964,0.0144259667401322,0.0026492130278946
10408,ATW,7399,7296,1659,90,13,0.2273848684210526,0.0121638059197188,0.0017569941884038
10409,ATY,304,303,54,1,0,0.1782178217821782,0.0032894736842105,0.0
10423,AUS,86731,85706,19144,831,194,0.2233682589316967,0.0095813492292259,0.0022368011437663
10431,AVL,10243,10038,2448,172,33,0.2438732815301853,0.0167919554817924,0.0032217123889485
10434,AVP,1534,1492,291,38,4,0.1950402144772118,0.0247718383311603,0.0026075619295958
10466,AZA,6521,6488,1024,14,19,0.157829839704069,0.0021469099831314,0.0029136635485355
10469,AZO,1602,1561,304,41,0,0.1947469570787956,0.0255930087390761,0.0
10529,BDL,23108,22663,4843,342,103,0.2136963332303755,0.01480006924009,0.00445733079453
10551,BET,723,699,215,24,0,0.3075822603719599,0.0331950207468879,0.0
10558,BFF,626,610,163,15,1,0.2672131147540983,0.023961661341853,0.0015974440894568
10561,BFL,3054,3025,464,19,10,0.1533884297520661,0.0062213490504256,0.0032743942370661
10577,BGM,226,223,37,2,1,0.1659192825112107,0.0088495575221238,0.0044247787610619
10581,BGR,3656,3515,939,131,10,0.2671408250355618,0.0358315098468271,0.0027352297592997
10599,BHM,16858,16480,3126,326,52,0.1896844660194174,0.0193379997627239,0.0030845889192074
10617,BIH,299,297,56,1,1,0.1885521885521885,0.0033444816053511,0.0033444816053511
10620,BIL,4841,4775,898,42,24,0.1880628272251309,0.0086758934104523,0.0049576533774013
10627,BIS,4270,4210,936,32,28,0.2223277909738717,0.0074941451990632,0.0065573770491803
10631,BJI,728,723,95,5,0,0.1313969571230982,0.0068681318681318,0.0
10666,BLI,2409,2376,343,30,3,0.1443602693602693,0.012453300124533,0.0012453300124533
10676,BLV,1360,1348,404,8,4,0.2997032640949555,0.0058823529411764,0.0029411764705882
10685,BMI,1722,1686,304,30,6,0.1803084223013048,0.0174216027874564,0.0034843205574912
10693,BNA,105241,103635,23289,1346,260,0.2247213779128672,0.0127896922302144,0.0024705200444693
10713,BOI,23524,23362,3751,106,56,0.160559883571612,0.0045060363883693,0.0023805475259309
10721,BOS,142859,140092,33838,2395,372,0.2415412728778231,0.0167647820578332,0.00260396614844
10728,BPT,727,695,138,30,2,0.1985611510791367,0.0412654745529573,0.0027510316368638
10732,BQN,2297,2250,409,30,17,0.1817777777777778,0.0130605137135393,0.0074009577710056
10739,BRD,629,623,102,6,0,0.1637239165329053,0.0095389507154213,0.0
10747,BRO,1567,1509,306,57,1,0.2027833001988071,0.0363752393107849,0.0006381620931716
10754,BRW,360,345,109,15,0,0.3159420289855073,0.0416666666666666,0.0
10779,BTM,708,701,92,5,2,0.1312410841654779,0.0070621468926553,0.0028248587570621
10781,BTR,4535,4386,937,141,8,0.2136342909256726,0.0310915104740904,0.0017640573318632
10785,BTV,6551,6319,1664,205,27,0.2633328058237063,0.0312929323767363,0.0041215081666921
10792,BUF,20657,20182,4345,433,42,0.2152908532355564,0.0209614174371883,0.0020332090816672
10800,BUR,30685,30199,5087,422,64,0.1684492864002119,0.0137526478735538,0.0020857096301124
10821,BWI,96100,94610,21471,1292,198,0.2269421837015114,0.0134443288241415,0.0020603537981269
10849,BZN,11051,10925,2407,82,44,0.2203203661327231,0.0074201429734865,0.0039815401321147
10868,CAE,5520,5326,1109,180,14,0.2082238077356365,0.0326086956521739,0.0025362318840579
10874,CAK,4229,4152,1032,68,9,0.2485549132947976,0.0160794514069519,0.0021281626862142
10918,CDC,628,625,46,3,0,0.0736,0.0047770700636942,0.0
10926,CDV,724,706,93,13,5,0.131728045325779,0.0179558011049723,0.0069060773480662
10980,CHA,5140,4994,1255,130,16,0.2513015618742491,0.0252918287937743,0.003112840466926
10990,CHO,1502,1442,397,51,9,0.2753120665742025,0.0339547270306258,0.0059920106524633
10994,CHS,24634,24020,5038,541,73,0.2097418817651956,0.0219615166030689,0.0029633839408946
11003,CID,8066,7881,1791,165,20,0.227255424438523,0.0204562360525663,0.0024795437639474
11013,CIU,864,849,191,11,4,0.2249705535924617,0.0127314814814814,0.0046296296296296
11027,CKB,205,199,103,5,1,0.5175879396984925,0.024390243902439,0.0048780487804878
11041,CLD,640,637,57,2,1,0.0894819466248037,0.003125,0.0015625
11042,CLE,39967,39139,8001,747,81,0.2044252535833823,0.0186904195961668,0.0020266720044036
11049,CLL,1221,1177,238,44,0,0.2022090059473237,0.036036036036036,0.0
11057,CLT,195425,191629,47357,3340,456,0.2471285661356057,0.0170909556095688,0.0023333759754381
11066,CMH,44403,43630,8976,677,96,0.2057300022920009,0.0152467175641285,0.0021620160799945
11067,CMI,1654,1608,341,42,4,0.2120646766169154,0.0253929866989117,0.0024183796856106
11076,CMX,795,757,214,35,3,0.2826948480845442,0.0440251572327044,0.0037735849056603
11097,COD,930,897,280,21,12,0.3121516164994425,0.0225806451612903,0.0129032258064516
11109,COS,13360,13137,2938,186,37,0.2236431453147598,0.0139221556886227,0.0027694610778443
11111,COU,2489,2390,624,91,8,0.2610878661087866,0.0365608678184009,0.0032141422257934
11122,CPR,2398,2366,607,21,11,0.2565511411665258,0.0087572977481234,0.0045871559633027
11140,CRP,3945,3855,694,83,7,0.1800259403372243,0.0210392902408111,0.0017743979721166
11146,CRW,2902,2806,728,89,7,0.2594440484675695,0.0306685044796691,0.0024121295658166
11193,CVG,33489,32844,7193,546,99,0.2190049933016685,0.0163038609692734,0.0029561945713517
11203,CWA,749,731,180,18,0,0.2462380300957592,0.0240320427236315,0.0
11233,CYS,736,727,161,8,1,0.2214580467675378,0.0108695652173913,0.0013586956521739
11252,DAB,3054,2990,463,53,11,0.1548494983277592,0.0173542894564505,0.0036018336607727
11259,DAL,71366,70145,16761,1051,170,0.2389478936488702,0.0147269007650702,0.0023820867079561
11267,DAY,7928,7725,1681,179,24,0.2176051779935275,0.0225782038345105,0.0030272452068617
11278,DCA,142506,136684,37089,5501,321,0.2713485118960522,0.0386018834294696,0.0022525367352953
11283,DDC,627,610,147,16,1,0.240983606557377,0.0255183413078149,0.0015948963317384
11288,DEC,627,609,170,17,1,0.2791461412151067,0.0271132376395534,0.0015948963317384
11292,DEN,317686,314281,80758,2444,961,0.2569611271441799,0.0076931309532053,0.0030249995278356
11298,DFW,315854,306185,87789,8706,963,0.2867188137890491,0.0275633678851621,0.003048877012797
11308,DHN,52,52,23,0,0,0.4423076923076923,0.0,0.0
11315,DIK,689,673,197,12,4,0.2927191679049034,0.0174165457184325,0.0058055152394775
11336,DLG,114,113,24,1,0,0.2123893805309734,0.0087719298245614,0.0
11337,DLH,2212,2172,450,38,2,0.2071823204419889,0.0171790235081374,0.0009041591320072
11413,DRO,4220,4136,931,67,17,0.2250967117988394,0.0158767772511848,0.0040284360189573
11423,DSM,14773,14405,2900,325,43,0.2013189864630336,0.0219995938536519,0.0029107154944831
11433,DTW,122533,120881,26340,1357,295,0.21790024900522,0.0110745676674854,0.0024075147103229
11447,DVL,652,636,177,11,5,0.2783018867924528,0.0168711656441717,0.0076687116564417
