city_a,city_b,scheduled_flights,eligible_arrivals,delayed_arrivals,cancelled_flights,diverted_flights,arrival_delay_rate,cancellation_rate,diversion_rate
"Chicago, IL","New York, NY",31669,30698,8976,845,126,0.2923968988207701,0.026682244466197227,0.003978654204427042
"Boston, MA","New York, NY",25151,24259,5851,880,12,0.24118883713261058,0.03498866844260665,0.0004771182060355453
"Atlanta, GA","New York, NY",24103,23504,6273,514,85,0.2668907420013615,0.0213251462473551,0.0035265319669750654
"Miami, FL","New York, NY",22192,21623,6157,467,102,0.28474309762752625,0.021043619322278297,0.004596250901225667
"Chicago, IL","Washington, DC",21703,21147,5528,480,76,0.26140823757506976,0.022116758051882228,0.0035018200248813527
"Los Angeles, CA","San Francisco, CA",21686,21582,5176,93,11,0.23982948753590955,0.004288481047680532,0.0005072396938116757
"Atlanta, GA","Washington, DC",21449,20815,5535,563,71,0.26591400432380496,0.026248309944519557,0.003310177630658772
"Boston, MA","Washington, DC",21425,20777,5439,613,35,0.26177985272175963,0.028611435239206534,0.001633605600933489
"Honolulu, HI","Kahului, HI",21414,21202,2276,208,4,0.10734836336194699,0.00971327169141683,0.0001867936863734006
"New York, NY","Orlando, FL",20594,20105,5777,404,85,0.2873414573489182,0.0196173642808585,0.004127415752160824
"Los Angeles, CA","New York, NY",20533,20267,4022,193,73,0.19845068337691815,0.00939950323868894,0.003555252520333122
"Atlanta, GA","Chicago, IL",19530,19116,4539,347,67,0.2374450721908349,0.01776753712237583,0.0034306195596518177
"Dallas/Fort Worth, TX","New York, NY",18149,17460,5116,547,142,0.2930126002290951,0.030139401619923963,0.007824122541186843
"Denver, CO","Phoenix, AZ",18104,17903,4498,162,39,0.2512428084678546,0.008948298718515246,0.002154220061864781
"Chicago, IL","Minneapolis, MN",17918,17677,4442,213,28,0.2512869830853652,0.011887487442794956,0.001562674405625628
"Chicago, IL","Denver, CO",17769,17543,4680,174,52,0.26677307188052213,0.00979233496538916,0.0029264449321852663
"Las Vegas, NV","Los Angeles, CA",17504,17415,3678,88,1,0.2111972437553833,0.005027422303473492,5.712979890310786e-05
"Boston, MA","Chicago, IL",17207,16926,4778,244,37,0.28228760486825005,0.014180275469285755,0.0021502876736212008
"Chicago, IL","Orlando, FL",17182,16930,4101,182,70,0.24223272297696397,0.010592480502851822,0.004074030962635316
"Chicago, IL","Los Angeles, CA",16897,16670,3490,186,41,0.20935812837432513,0.01100787121974315,0.002426466236610049
