city,state,scheduled_flights,eligible_arrivals,delayed_arrivals,cancelled_flights,diverted_flights,airports,latitude,longitude,arrival_delay_rate,cancellation_rate,diversion_rate
"Chicago, IL",IL,401045,393444,101216,6455,1146,"MDW, ORD",41.94167290930177,-87.87934617356076,0.25725643293581807,0.0160954506352155,0.0028575346906207534
"Denver, CO",CO,317686,314281,80758,2444,961,DEN,39.8613813860245,-104.67248499204901,0.2569611271441799,0.0076931309532053665,0.0030249995278356615
"Dallas/Fort Worth, TX",TX,315854,306185,87789,8706,963,DFW,32.89722222,-97.03777778,0.2867188137890491,0.027563367885162133,0.003048877012797052
"Atlanta, GA",GA,314433,309064,74040,4536,833,ATL,33.63666667,-84.42791996917474,0.23956203245929647,0.014425966740132239,0.002649213027894655
"New York, NY",NY,240485,233547,60137,6239,698,"JFK, LGA",40.71744551971848,-73.83160015129259,0.25749420887444496,0.025943406033640353,0.002902467929392686
"Phoenix, AZ",AZ,203277,201328,39256,1420,529,"AZA, PHX",33.42985234555695,-112.0003687371032,0.19498529762377811,0.006985541896033491,0.002602360326057547
"Washington, DC",VA,200052,193474,49127,6113,465,"DCA, IAD",38.88030052388114,-77.15947699638738,0.25392042341606624,0.03055705516565693,0.0023243956571291466
"Charlotte, NC",NC,195425,191629,47357,3340,456,CLT,35.213345423915825,-80.9500965784682,0.24712856613560577,0.01709095560956889,0.0023333759754381477
"Los Angeles, CA",CA,190472,188578,33123,1315,579,LAX,33.94278132968983,-118.40847754947083,0.17564615172501563,0.006903901885841488,0.0030398168759712715
"Las Vegas, NV",NV,183803,181901,37799,1374,528,LAS,36.08,-115.15222222,0.20779984716961425,0.007475394852097082,0.0028726408165263896
"Houston, TX",TX,172514,169905,37767,2161,448,"HOU, IAH",29.876421238283907,-95.3207402612534,0.222283040522645,0.012526519586816142,0.0025968906871326387
"Seattle, WA",WA,164835,162971,36174,1348,516,SEA,47.45,-122.31166667,0.2219658712286235,0.008177874844541511,0.0031304031304031305
"Orlando, FL",FL,160048,157950,38735,1668,430,MCO,28.42930851409883,-81.30780145342985,0.24523583412472302,0.01042187343796861,0.002686693991802459
"San Francisco, CA",CA,144495,142973,28285,1080,442,SFO,37.61888889,-122.37555556000001,0.1978345561749421,0.00747430706944877,0.0030589293747188486
"Boston, MA",MA,142859,140092,33838,2395,372,BOS,42.36305556,-71.00666985575994,0.24154127287782315,0.016764782057833248,0.0026039661484400702
"Detroit, MI",MI,122533,120881,26340,1357,295,DTW,42.2125,-83.35333333,0.21790024900522,0.011074567667485494,0.002407514710322933
"Newark, NJ",NJ,120286,116940,29538,3028,318,EWR,40.69307701309596,-74.16861111,0.2525910723447922,0.025173336880434962,0.0026436991836123903
"Salt Lake City, UT",UT,116298,115369,18274,596,333,SLC,40.78833332999999,-111.97777778,0.15839610293926445,0.00512476568814597,0.0028633338492493423
"Minneapolis, MN",MN,112931,111700,22725,926,305,MSP,44.88194444,-93.22166667,0.20344673231871083,0.008199697160212873,0.0027007641834394455
"Miami, FL",FL,111907,110113,28671,1419,375,MIA,25.795674007724536,-80.28986792250691,0.26037797535259233,0.012680171928476324,0.003350996809851037
"Nashville, TN",TN,105241,103635,23289,1346,260,BNA,36.12415609413052,-86.67791138447012,0.22472137791286728,0.01278969223021446,0.002470520044469361
"Philadelphia, PA",PA,97519,95211,25102,2039,269,PHL,39.87309820210923,-75.23853648279874,0.2636460072890737,0.02090874598796132,0.002758436817440704
"San Diego, CA",CA,96925,95509,20903,1109,307,SAN,32.73361111,-117.18972222,0.2188589557005099,0.011441836471498582,0.0031673974722723755
"Baltimore, MD",MD,96100,94610,21471,1292,198,BWI,39.17583333,-76.66888889,0.22694218370151148,0.013444328824141519,0.0020603537981269513
"Fort Lauderdale, FL",FL,87585,86218,20679,1092,275,FLL,26.071532659426044,-80.14958820942604,0.23984550789858267,0.012467888337044014,0.00313980704458526
"Austin, TX",TX,86731,85706,19144,831,194,AUS,30.194444440000005,-97.67,0.22336825893169673,0.009581349229225997,0.0022368011437663583
"Tampa, FL",FL,79433,78251,17490,962,220,TPA,27.97555556,-82.53333333,0.2235115206195448,0.01211083554693893,0.0027696297508592147
"Dallas, TX",TX,71366,70145,16761,1051,170,DAL,32.84597176459742,-96.85083333,0.2389478936488702,0.014726900765070201,0.0023820867079561697
"St. Louis, MO",MO,64202,63152,13389,887,163,STL,38.74861111,-90.37,0.21201228781352927,0.013815768979159529,0.0025388617177034985
"Portland, OR",OR,61159,60559,10698,438,162,PDX,45.58861111,-122.59753327419153,0.17665417196453045,0.007161660589610687,0.0026488333687601172
"Honolulu, HI",HI,58873,58346,8220,459,68,HNL,21.31777778,-157.92027778,0.14088369382648339,0.0077964431912761365,0.001155028620929798
"Sacramento, CA",CA,57928,57424,9862,364,140,SMF,38.69555556,-121.59083333,0.17174003900808024,0.0062836624775583485,0.0024167932605993645
"Raleigh/Durham, NC",NC,55383,54330,11375,941,112,RDU,35.87677509781323,-78.78649732296986,0.2093686729247193,0.01699077334200025,0.002022281205424047
"New Orleans, LA",LA,51121,50063,10721,912,146,MSY,29.991197919204435,-90.25476237922831,0.21415017078481113,0.017840026603548442,0.0028559691711820974
"Kansas City, MO",MO,48228,47324,9877,782,122,MCI,39.29735818405989,-94.71360525811977,0.20871016820218072,0.016214647092975036,0.0025296508252467447
"Indianapolis, IN",IN,47346,46473,9149,771,102,IND,39.71722222,-86.29472222,0.19686699804187377,0.016284374603979218,0.002154353060448612
"San Jose, CA",CA,45902,45520,7247,286,96,SJC,37.36305556,-121.92861111000002,0.15920474516695957,0.006230665330486689,0.002091412138904623
"Columbus, OH",OH,45573,44789,9336,683,101,"CMH, LCK",39.99224483730762,-82.89313504130209,0.20844403759851748,0.014986944023873785,0.002216224518903737
"Santa Ana, CA",CA,44997,44395,8207,471,131,SNA,33.67584104531347,-117.86804784468653,0.1848631602657957,0.010467364490966065,0.0029113051981243194
"Pittsburgh, PA",PA,43176,42466,8249,629,81,PIT,40.49138889,-80.23277778,0.1942495172608675,0.01456827867333704,0.0018760422456920512
"San Antonio, TX",TX,41810,41200,7274,492,118,SAT,29.534029480829467,-98.46930725576824,0.17655339805825243,0.011767519732121501,0.0028222913178665393
"Cleveland, OH",OH,39967,39139,8001,747,81,CLE,41.409866708413446,-81.85401844437811,0.20442525358338232,0.018690419596166838,0.002026672004403633
"San Juan, PR",PR,35706,35232,7394,320,154,SJU,18.43944444,-66.00222222,0.20986603088101727,0.008962079202374951,0.004313000616142945
"Fort Myers, FL",FL,35222,34660,7240,459,103,RSW,26.53611111,-81.75527778,0.2088863242931333,0.013031627959797853,0.0029243086707171654
"Oakland, CA",CA,34591,34305,5819,223,63,OAK,37.72138889,-122.22111111,0.16962541903512607,0.006446763609031251,0.0018212829926859588
"Cincinnati, OH",KY,33489,32844,7193,546,99,CVG,39.04888889,-84.66777778000001,0.2190049933016685,0.01630386096927349,0.002956194571351787
"West Palm Beach/Palm Beach, FL",FL,30785,30181,7574,477,127,PBI,26.68305556,-80.09555556,0.25095258606408005,0.015494559038492773,0.004125385739808348
"Burbank, CA",CA,30685,30199,5087,422,64,BUR,34.20055556,-118.35861111,0.16844928640021192,0.013752647873553854,0.002085709630112433
"Jacksonville, FL",FL,28322,27761,5648,485,76,JAX,30.494446524242285,-81.69617348786738,0.20345088433413783,0.017124496857566555,0.002683426311701151
"Milwaukee, WI",WI,27669,27152,5648,447,70,MKE,42.94694444,-87.89694444,0.20801414260459636,0.01615526401387835,0.0025299071162673027
"Ontario, CA",CA,26162,25866,4358,239,57,ONT,34.05611111,-117.60111111,0.16848372380731463,0.00913538720281324,0.0021787325128048316
"Kahului, HI",HI,25505,25245,3515,221,39,OGG,20.900679660305432,-156.42834910534796,0.13923549217666864,0.008664967653401294,0.0015291119388355224
"Albuquerque, NM",NM,25207,24902,4151,235,70,ABQ,35.03845891856429,-106.60919327803111,0.16669343827804994,0.009322807156742175,0.0027770063871146904
"Omaha, NE",NE,24648,24274,4583,320,54,OMA,41.30305556,-95.89402380173239,0.18880283430831343,0.012982797792924375,0.0021908471275559884
"Charleston, SC",SC,24634,24020,5038,541,73,CHS,32.89861111,-80.04055556,0.20974188176519568,0.02196151660306893,0.0029633839408946985
"Oklahoma City, OK",OK,24190,23774,4889,343,73,OKC,35.39276939722199,-97.60154873179413,0.20564482207453522,0.014179412980570483,0.0030177759404712693
"Memphis, TN",TN,24002,23539,4756,399,64,MEM,35.04264777821932,-89.97666666999999,0.20204766557627768,0.016623614698775102,0.00266644446296142
"Boise, ID",ID,23524,23362,3751,106,56,BOI,43.56444444,-116.22277778000002,0.16055988357161202,0.004506036388369325,0.002380547525930964
"Hartford, CT",CT,23108,22663,4843,342,103,BDL,41.93916667,-72.68444444,0.2136963332303755,0.014800069240090013,0.004457330794530033
"Louisville, KY",KY,23039,22518,4355,466,55,SDF,38.17416667,-85.73638889,0.19340083488764545,0.020226572333868657,0.0023872563913364293
"Reno, NV",NV,20927,20640,3735,246,41,RNO,39.49916667,-119.76805555999998,0.18095930232558138,0.011755148850766952,0.0019591914751278254
"Buffalo, NY",NY,20657,20182,4345,433,42,BUF,42.94055555999999,-78.73055556,0.21529085323555644,0.02096141743718836,0.0020332090816672314
"Tucson, AZ",AZ,20152,19923,3066,191,38,TUS,32.12023443987892,-110.94510558480548,0.1538924860713748,0.009477967447399762,0.0018856689162366018
"Norfolk, VA",VA,19872,19383,4179,456,33,ORF,36.89472222,-76.20111111,0.21560130010834236,0.022946859903381644,0.0016606280193236715
"Savannah, GA",GA,19299,18830,3934,427,42,SAV,32.128065371273124,-81.20109147745376,0.20892193308550186,0.02212549873050417,0.002176278563656148
"Anchorage, AK",AK,18860,18609,3027,210,41,ANC,61.174166670000005,-149.99805556,0.16266322747057876,0.011134676564156946,0.002173913043478261
"Grand Rapids, MI",MI,18592,18287,4125,265,40,GRR,42.88141715280497,-85.52336160280497,0.22557007710395363,0.014253442340791738,0.0021514629948364886
"Tulsa, OK",OK,18410,18037,3510,328,45,TUL,36.19833333,-95.88878530667246,0.19459998891168154,0.0178164041281912,0.0024443237370994023
"Spokane, WA",WA,18202,18070,2879,88,44,GEG,47.61916667,-117.53527777999999,0.15932484781405645,0.004834633556752005,0.0024173167783760026
"Richmond, VA",VA,17877,17460,3910,373,44,RIC,37.51174609815405,-77.32212903996141,0.22394043528064148,0.020864798344241205,0.0024612630754600883
"Sarasota/Bradenton, FL",FL,17228,16985,3343,195,48,SRQ,27.395555560000002,-82.55444444,0.19682072416838386,0.011318783375899697,0.0027861620617599257
"El Paso, TX",TX,17011,16770,2893,189,52,ELP,31.80694449398742,-106.3748613794339,0.17251043530113297,0.01111045793898066,0.0030568455705131973
"Birmingham, AL",AL,16858,16480,3126,326,52,BHM,33.56388889,-86.75222222,0.18968446601941746,0.01933799976272393,0.003084588919207498
"Long Beach, CA",CA,16724,16619,2276,79,26,LGB,33.81805556,-118.15194444,0.13695168180997652,0.004723750298971538,0.0015546519971298732
"Kona, HI",HI,15796,15621,1933,153,22,KOA,19.736123771443403,-156.04583206886932,0.12374367838166571,0.009685996454798684,0.001392757660167131
"Lihue, HI",HI,15664,15493,2099,152,19,LIH,21.980569174341166,-159.33749574395299,0.13548053959852838,0.009703779366700716,0.0012129724208375895
"Providence, RI",RI,15528,15192,3283,304,32,PVD,41.72222222,-71.42777777999999,0.21610057925223802,0.019577537351880475,0.0020607934054611026
"Palm Springs, CA",CA,14930,14795,2752,95,40,PSP,33.82972222,-116.50666667,0.18600878675228116,0.006363027461486939,0.0026791694574681848
"Des Moines, IA",IA,14773,14405,2900,325,43,DSM,41.53401806813579,-93.66060119402154,0.20131898646303367,0.02199959385365193,0.0029107154944831787
"Myrtle Beach, SC",SC,14532,14177,3051,326,29,MYR,33.67972222,-78.92833333,0.2152077308316287,0.022433250756950178,0.001995595926231764
"Greer, SC",SC,14179,13839,2660,299,41,GSP,34.89555556,-82.21888889,0.19221041982802226,0.021087523802806967,0.0028916002538966075
"Pensacola, FL",FL,13884,13515,2628,331,38,PNS,30.473051153494673,-87.18737211888217,0.1944506104328524,0.023840391817919908,0.0027369634111207145
"Colorado Springs, CO",CO,13360,13137,2938,186,37,COS,38.80583333,-104.70083333,0.22364314531475984,0.013922155688622755,0.0027694610778443113
"Fresno, CA",CA,13341,13208,2383,99,34,FAT,36.77666667,-119.71888888999999,0.18042095699576013,0.007420733078479874,0.0025485345926092497
"Knoxville, TN",TN,13267,12954,3119,262,51,TYS,35.81111111,-83.99416667,0.24077505017755133,0.01974824753146906,0.003844124519484435
"Little Rock, AR",AR,12782,12498,2852,259,25,LIT,34.72944444,-92.22472222000002,0.2281965114418307,0.020262869660460023,0.0019558754498513534
"Fayetteville, AR",AR,12780,12504,2745,247,29,XNA,36.28166667,-94.30777778,0.21952975047984644,0.019327073552425664,0.002269170579029734
"Madison, WI",WI,12771,12505,2576,218,48,MSN,43.13999999999999,-89.3375,0.20599760095961617,0.017069924046668232,0.0037585153864223633
"Albany, NY",NY,12595,12318,2737,232,45,ALB,42.74916667,-73.80339144393648,0.22219516155220004,0.018420007939658596,0.003572846367606193
"Wichita, KS",KS,11164,10856,2421,277,31,ICT,37.650147200508776,-97.43261395847367,0.22301031687546058,0.024811895378000718,0.002776782515227517
"Bozeman, MT",MT,11051,10925,2407,82,44,BZN,45.77722222,-111.15027778,0.2203203661327231,0.007420142973486562,0.003981540132114741
"White Plains, NY",NY,10794,10451,2407,281,62,HPN,41.06694444,-73.7075,0.2303128887187829,0.026032981285899575,0.005743931813970725
"Portland, ME",ME,10750,10468,2246,242,40,PWM,43.64555556,-70.30861111,0.21455865494841422,0.022511627906976743,0.0037209302325581397
"Valparaiso, FL",FL,10696,10501,2039,169,26,VPS,30.483333329999997,-86.52570496290856,0.19417198362060756,0.015800299177262528,0.0024308152580403888
"Sanford, FL",FL,10495,10420,3220,46,29,SFB,28.776825286539303,-81.23473537451738,0.30902111324376197,0.004383039542639352,0.0027632205812291566
"Syracuse, NY",NY,10393,10130,2454,238,25,SYR,43.11111111,-76.10638889,0.2422507403751234,0.022900028865582605,0.0024054652169729625
"Greensboro/High Point, NC",NC,10368,10085,1897,266,17,GSO,36.10138889,-79.94111111,0.1881011403073872,0.025655864197530864,0.0016396604938271604
"Asheville, NC",NC,10243,10038,2448,172,33,AVL,35.43611111,-82.54194444,0.2438732815301853,0.016791955481792444,0.0032217123889485503
"Rochester, NY",NY,10084,9869,2280,201,14,ROC,43.11916667,-77.67194444,0.23102644644847503,0.01993256644188814,0.001388337961126537
"Midland/Odessa, TX",TX,9881,9703,1732,144,34,MAF,31.942499999999995,-102.20194444,0.17850149438318047,0.01457342374253618,0.003440947272543265
"St. Petersburg, FL",FL,9415,9339,2318,45,31,PIE,27.908611110000002,-82.68638889,0.24820644608630474,0.004779607010090282,0.0032926181625066385
"Lexington, KY",KY,9373,9160,2057,193,20,LEX,38.03666667,-84.60861111,0.22456331877729258,0.02059105942601088,0.002133788541555532
"Springfield, MO",MO,9247,9066,2355,155,26,SGF,37.24555556,-93.38861111,0.25976174718729317,0.01676219314372229,0.0028117227208824484
"Panama City, FL",FL,9043,8866,1748,156,21,ECP,30.358333330000004,-85.79555556,0.19715768102864878,0.017250912307862434,0.002322238195289174
"Huntsville, AL",AL,8550,8278,1996,244,28,HSV,34.63722222,-86.775,0.24112104373036966,0.02853801169590643,0.0032748538011695906
"Eugene, OR",OR,8279,8200,1418,57,22,EUG,44.1245938486653,-123.21134681071747,0.17292682926829267,0.006884889479405725,0.0026573257639811573
"Santa Barbara, CA",CA,8236,8130,1567,96,10,SBA,34.42596662122875,-119.84124440122876,0.1927429274292743,0.011656143759106362,0.0012141816415735794
"Cedar Rapids/Iowa City, IA",IA,8066,7881,1791,165,20,CID,41.88472222,-91.71083333,0.22725542443852303,0.02045623605256633,0.002479543763947434
"Dayton, OH",OH,7928,7725,1681,179,24,DAY,39.90208122772957,-84.2187394887992,0.21760517799352752,0.022578203834510594,0.0030272452068617556
"South Bend, IN",IN,7848,7676,1979,146,26,SBN,41.70833333,-86.31722222,0.2578165711307973,0.018603465851172275,0.003312945973496432
"Key West, FL",FL,7760,7587,1819,97,76,EYW,24.556111110000003,-81.76,0.23975220772373798,0.0125,0.00979381443298969
"Punta Gorda, FL",FL,7712,7663,1536,30,19,PGD,26.91861111,-81.99083333,0.2004436904606551,0.0038900414937759337,0.002463692946058091
"Aspen, CO",CO,7685,7207,2476,443,35,ASE,39.22194444,-106.86833333,0.3435548772027196,0.05764476252439818,0.004554326610279766
"Wilmington, NC",NC,7416,7177,1437,224,15,ILM,34.26915996143339,-77.90277778,0.20022293437369373,0.030204962243797196,0.0020226537216828477
"Appleton, WI",WI,7399,7296,1659,90,13,ATW,44.25805556,-88.51916667,0.22738486842105263,0.01216380591971888,0.0017569941884038383
"Sioux Falls, SD",SD,7398,7258,1875,109,31,FSD,43.58137026136659,-96.74180089921737,0.2583356296500413,0.014733711814003785,0.004190321708569884
"Fargo, ND",ND,6995,6912,1571,63,20,FAR,46.91988106974553,-96.81583333,0.22728587962962962,0.009006433166547534,0.0028591851322373124
"Hilo, HI",HI,6649,6603,701,45,1,ITO,19.72083241589863,-155.05138382993835,0.10616386490988944,0.006767935027823733,0.00015039855617386073
"Fort Wayne, IN",IN,6614,6468,1737,124,22,FWA,40.97833333,-85.19527778,0.26855287569573283,0.01874811006954944,0.003326277592984578
"Lubbock, TX",TX,6576,6433,1254,113,30,LBB,33.66260222476886,-101.81954666958029,0.19493237991605783,0.017183698296836983,0.004562043795620438
"Burlington, VT",VT,6551,6319,1664,205,27,BTV,44.47194444,-73.15333333,0.2633328058237063,0.031292932376736374,0.004121508166692108
"Pasco/Kennewick/Richland, WA",WA,6445,6408,733,22,15,PSC,46.26472222,-119.11888888999998,0.11438826466916355,0.003413498836307215,0.0023273855702094647
"Jackson, WY",WY,6386,6237,1629,90,59,JAC,43.60722222,-110.73777778000002,0.2611832611832612,0.014093329157532102,0.009238960225493267
"Bend/Redmond, OR",OR,6165,6105,1026,43,17,RDM,44.25416667,-121.15055556,0.16805896805896806,0.006974858069748581,0.00275750202757502
"Jackson/Vicksburg, MS",MS,6118,5953,1127,156,9,JAN,32.31111111,-90.07583333,0.18931631110364522,0.02549852893102321,0.0014710689767898006
"Manchester, NH",NH,5979,5805,1235,151,23,MHT,42.93277778,-71.43583333,0.2127476313522825,0.025255059374477338,0.00384679712326476
"Shreveport, LA",LA,5952,5797,1345,142,13,SHV,32.44669457317372,-93.82748669803763,0.23201656028980508,0.02385752688172043,0.0021841397849462364
"Columbia, SC",SC,5520,5326,1109,180,14,CAE,33.93888889,-81.11944444,0.2082238077356365,0.03260869565217391,0.002536231884057971
"Peoria, IL",IL,5435,5301,1397,125,9,PIA,40.66187289221711,-89.6910395573781,0.2635351820411243,0.022999080036798528,0.001655933762649494
"San Luis Obispo, CA",CA,5397,5312,1146,72,13,SBP,35.23708623801742,-120.64141215392998,0.2157379518072289,0.013340744858254585,0.002408745599407078
"Islip, NY",NY,5283,5207,1246,54,22,ISP,40.79611111,-73.10055556,0.23929325907432303,0.010221465076660987,0.00416430058678781
"Rapid City, SD",SD,5250,5140,1238,83,27,RAP,44.047187197401904,-103.05942539636571,0.24085603112840467,0.015809523809523808,0.005142857142857143
"Amarillo, TX",TX,5227,5107,1000,100,20,AMA,35.225514634964604,-101.70252231998278,0.1958096729978461,0.01913143294432753,0.003826286588865506
"Traverse City, MI",MI,5196,5069,1521,112,15,TVC,44.74166667,-85.58194444,0.3000591832708621,0.02155504234026174,0.002886836027713626
"Chattanooga, TN",TN,5140,4994,1255,130,16,CHA,35.03657398622568,-85.20274697078794,0.2513015618742491,0.02529182879377432,0.0031128404669260703
"Harrisburg, PA",PA,5069,4994,1070,66,9,MDT,40.19305556,-76.7625,0.21425710853023627,0.013020319589662656,0.0017754981258630894
"Charlotte Amalie, VI",VI,5044,4906,840,47,91,STT,18.33722222,-64.97333333,0.17121891561353444,0.009318001586042823,0.01804123711340206
"Monterey, CA",CA,4866,4801,786,51,14,MRY,36.58694444,-121.84250411018495,0.16371589252239116,0.010480887792848335,0.002877106452938759
"Mission/McAllen/Edinburg, TX",TX,4864,4759,962,93,12,MFE,26.17583333,-98.23861111,0.2021433074175247,0.019120065789473683,0.0024671052631578946
"Billings, MT",MT,4841,4775,898,42,24,BIL,45.80777778,-108.54361110999999,0.1880628272251309,0.008675893410452386,0.004957653377401363
"Juneau, AK",AK,4703,4580,725,89,34,JNU,58.354722220000006,-134.57833333,0.15829694323144106,0.018924091005741016,0.007229428024665107
"Grand Junction, CO",CO,4699,4626,935,56,17,GJT,39.120503002432436,-108.52039038972973,0.2021184608733247,0.011917429240263885,0.0036177910193658227
"Santa Rosa, CA",CA,4668,4569,1119,84,15,STS,38.50972222,-122.81293237992288,0.2449113591595535,0.017994858611825194,0.003213367609254499
"Medford, OR",OR,4613,4554,647,50,9,MFR,42.375,-122.87333332999998,0.14207290294246816,0.010838933448948623,0.0019510080208107522
"St. George, UT",UT,4539,4513,637,5,21,SGU,37.03638889,-113.51027778,0.14114779525814314,0.0011015642211940956,0.004626569729015202
