Month,scheduled_flights,eligible_arrivals,delayed_arrivals,cancelled_flights,diverted_flights,missing_arrival_delay,cause_complete_flights,delayed_cause_missing,cause_observed_flights,cause_partial_flights,CarrierDelay_minutes,WeatherDelay_minutes,NASDelay_minutes,SecurityDelay_minutes,LateAircraftDelay_minutes,CarrierDelay_observations,WeatherDelay_observations,NASDelay_observations,SecurityDelay_observations,LateAircraftDelay_observations,arrival_delay_rate,cancellation_rate,diversion_rate,reported_cause_minutes,CarrierDelay_share,WeatherDelay_share,NASDelay_share,SecurityDelay_share,LateAircraftDelay_share
1,539747,522269,98130,16312,1166,0,98130,0,98130,0,2510886.0,629972.0,1381827.0,10550.0,2410759.0,98130,98130,98130,98130,98130,0.1878916803409737,0.0302215667710983,0.0021602713864088,6943994.0,0.3615910382411044,0.0907218525822459,0.1989959956762635,0.001519298547781,0.3471718149526051
2,504884,496476,103102,7405,1003,0,103102,0,103102,0,2513734.0,486199.0,1666833.0,8734.0,2735511.0,103102,103102,103102,103102,103102,0.2076676415375567,0.0146667353293033,0.00198659494062,7411011.0,0.3391890796006105,0.0656049491762999,0.2249130381806207,0.0011785166693181,0.3691144163731507
3,600872,592301,116034,6923,1648,0,116034,0,116034,0,2761618.0,492193.0,1832804.0,10673.0,3281080.0,116034,116034,116034,116034,116034,0.1959037718997604,0.0115215886245323,0.0027426806374735,8378368.0,0.3296128792624053,0.0587456888978856,0.218754296779516,0.0012738757715106,0.3916132592886824
4,583950,577730,113604,4914,1306,0,113604,0,113604,0,2563581.0,433723.0,1743517.0,14791.0,3085757.0,113604,113604,113604,113604,113604,0.1966385681892925,0.0084151040328795,0.0022364928504152,7841369.0,0.3269302847500226,0.0553121527631208,0.2223485465356878,0.001886277766038,0.3935227381851306
5,605648,597574,141038,6344,1730,0,141038,0,141038,0,2990564.0,708753.0,2647632.0,11326.0,3861591.0,141038,141038,141038,141038,141038,0.2360176312891792,0.0104747311969989,0.0028564446675296,10219866.0,0.2926226234277436,0.0693505179030723,0.2590671932489134,0.0011082337087394,0.3778514317115312
6,611575,599472,169405,9736,2367,0,169405,0,169405,0,4095591.0,893051.0,2707009.0,20281.0,5264576.0,169405,169405,169405,169405,169405,0.2825903461712974,0.0159195519764542,0.0038703347913175,12980508.0,0.3155185451909894,0.0687993875124147,0.2085441494277419,0.0015624195909744,0.4055754982778794
7,631428,612811,177012,15473,3144,0,177012,0,177012,0,4477900.0,1057529.0,2985238.0,15270.0,5880680.0,177012,177012,177012,177012,177012,0.2888525173340557,0.0245047733074871,0.0049791900264163,14416617.0,0.3106068504143517,0.0733548654306346,0.207069245163411,0.0010591944004616,0.4079098445911409
8,602378,593733,133920,6483,2162,0,133920,0,133920,0,3254359.0,686052.0,1887363.0,13933.0,3976871.0,133920,133920,133920,133920,133920,0.2255559317066762,0.0107623452383719,0.0035891084999784,9818578.0,0.3314491161551092,0.0698728471678892,0.1922236600860124,0.0014190445907747,0.4050353320002143
9,562439,558328,92859,2886,1224,1,92859,0,92859,0,2135289.0,345837.0,1406555.0,9019.0,2327776.0,92859,92859,92859,92859,92859,0.1663162155578799,0.0051312231193071,0.002176236000704,6224476.0,0.3430471898357388,0.0555608215052961,0.2259716319895843,0.0014489573098201,0.3739713993595605
10,605844,601570,122251,3204,1070,0,122251,0,122251,0,2663106.0,259915.0,1795377.0,9307.0,3113593.0,122251,122251,122251,122251,122251,0.2032199079076416,0.005288490106364,0.0017661312152963,7841298.0,0.3396256589151439,0.033146935622138,0.2289642607639704,0.0011869208388713,0.3970762238598763
11,570550,555296,114170,14195,1059,0,114170,0,114170,0,2531763.0,384899.0,2234907.0,11174.0,3208342.0,114170,114170,114170,114170,114170,0.2056020572811617,0.0248795022346858,0.0018561037595302,8371085.0,0.3024414397894657,0.0459795832917716,0.2669793700577643,0.001334832939816,0.3832647739211822
12,582304,571924,153113,9001,1379,0,153113,0,153113,0,3827986.0,730591.0,2194699.0,17744.0,4716435.0,153113,153113,153113,153113,153113,0.2677156405396521,0.0154575616859921,0.0023681788206847,11487455.0,0.3332318603206715,0.0635990304205761,0.191051803902605,0.001544641524167,0.4105726638319802
