OriginAirportID,Origin,DestAirportID,Dest,scheduled_flights,eligible_arrivals,delayed_arrivals,cancelled_flights,diverted_flights,arrival_delay_rate,cancellation_rate,diversion_rate
10135,ABE,10693,BNA,67,67,16,0,0,0.2388059701492537,0.0,0.0
10135,ABE,11057,CLT,913,884,149,26,3,0.168552036199095,0.0284775465498357,0.0032858707557502
10135,ABE,11292,DEN,46,46,0,0,0,0.0,0.0,0.0
10135,ABE,11697,FLL,126,125,37,1,0,0.296,0.0079365079365079,0.0
10135,ABE,13204,MCO,113,109,35,2,2,0.3211009174311927,0.0176991150442477,0.0176991150442477
10135,ABE,13360,MLB,104,104,8,0,0,0.0769230769230769,0.0,0.0
10135,ABE,13577,MYR,229,226,27,0,3,0.1194690265486725,0.0,0.0131004366812227
10135,ABE,13930,ORD,88,87,14,1,0,0.160919540229885,0.0113636363636363,0.0
10135,ABE,14082,PGD,259,252,45,2,5,0.1785714285714285,0.0077220077220077,0.0193050193050193
10135,ABE,14112,PIE,292,285,41,4,3,0.143859649122807,0.0136986301369863,0.0102739726027397
10135,ABE,14635,RSW,15,14,3,1,0,0.2142857142857142,0.0666666666666666,0.0
10135,ABE,14761,SFB,676,673,119,2,1,0.1768202080237741,0.0029585798816568,0.0014792899408284
10135,ABE,14986,SRQ,109,109,24,0,0,0.2201834862385321,0.0,0.0
10136,ABI,11298,DFW,1761,1718,312,41,2,0.1816065192083818,0.02328222600795,0.0011357183418512
10140,ABQ,10397,ATL,996,979,111,10,7,0.1133810010214504,0.0100401606425702,0.0070281124497991
10140,ABQ,10423,AUS,827,821,142,3,3,0.1729598051157125,0.0036275695284159,0.0036275695284159
10140,ABQ,10693,BNA,268,267,77,1,0,0.2883895131086142,0.003731343283582,0.0
10140,ABQ,10800,BUR,348,347,80,1,0,0.2305475504322766,0.0028735632183908,0.0
10140,ABQ,10821,BWI,421,414,87,3,4,0.2101449275362318,0.007125890736342,0.009501187648456
10140,ABQ,11057,CLT,6,6,0,0,0,0.0,0.0,0.0
10140,ABQ,11259,DAL,1671,1639,241,25,7,0.1470408785845027,0.0149611011370436,0.0041891083183722
10140,ABQ,11292,DEN,3144,3111,613,26,7,0.1970427515268402,0.0082697201017811,0.0022264631043256
10140,ABQ,11298,DFW,2433,2344,549,79,10,0.2342150170648464,0.0324702013974517,0.0041101520756267
10140,ABQ,11433,DTW,4,4,0,0,0,0.0,0.0,0.0
10140,ABQ,12191,HOU,966,956,127,5,5,0.1328451882845188,0.005175983436853,0.005175983436853
10140,ABQ,12264,IAD,193,193,38,0,0,0.1968911917098445,0.0,0.0
10140,ABQ,12266,IAH,464,456,44,8,0,0.0964912280701754,0.0172413793103448,0.0
10140,ABQ,12478,JFK,174,170,41,4,0,0.2411764705882353,0.0229885057471264,0.0
10140,ABQ,12889,LAS,1782,1772,305,9,1,0.1721218961625282,0.005050505050505,0.0005611672278338
10140,ABQ,12892,LAX,2161,2140,250,11,10,0.116822429906542,0.0050902360018509,0.0046274872744099
10140,ABQ,12954,LGB,269,268,55,0,1,0.2052238805970149,0.0,0.0037174721189591
10140,ABQ,13198,MCI,347,344,48,2,1,0.1395348837209302,0.0057636887608069,0.0028818443804034
10140,ABQ,13204,MCO,45,45,8,0,0,0.1777777777777777,0.0,0.0
10140,ABQ,13232,MDW,527,522,57,5,0,0.1091954022988505,0.0094876660341555,0.0
10140,ABQ,13487,MSP,178,177,9,1,0,0.0508474576271186,0.0056179775280898,0.0
10140,ABQ,13796,OAK,356,356,36,0,0,0.1011235955056179,0.0,0.0
10140,ABQ,13930,ORD,1149,1126,236,14,9,0.2095914742451154,0.0121845082680591,0.0078328981723237
10140,ABQ,14057,PDX,7,7,0,0,0,0.0,0.0,0.0
10140,ABQ,14100,PHL,6,6,2,0,0,0.3333333333333333,0.0,0.0
10140,ABQ,14107,PHX,3392,3373,579,18,1,0.1716572783871924,0.0053066037735849,0.0002948113207547
10140,ABQ,14679,SAN,655,649,118,3,3,0.1818181818181818,0.0045801526717557,0.0045801526717557
10140,ABQ,14683,SAT,9,8,3,0,1,0.375,0.0,0.1111111111111111
10140,ABQ,14747,SEA,574,570,131,4,0,0.2298245614035087,0.0069686411149825,0.0
10140,ABQ,14771,SFO,681,679,105,2,0,0.1546391752577319,0.0029368575624082,0.0
10140,ABQ,14869,SLC,1154,1153,59,1,0,0.0511708586296617,0.0008665511265164,0.0
10141,ABR,13487,MSP,754,748,78,6,0,0.1042780748663101,0.0079575596816976,0.0
10146,ABY,10397,ATL,890,871,141,18,1,0.1618828932261768,0.0202247191011235,0.0011235955056179
10154,ACK,10721,BOS,229,225,71,4,0,0.3155555555555555,0.0174672489082969,0.0
10154,ACK,11057,CLT,11,11,4,0,0,0.3636363636363636,0.0,0.0
10154,ACK,11278,DCA,282,265,70,16,1,0.2641509433962264,0.0567375886524822,0.0035460992907801
10154,ACK,12197,HPN,235,225,46,9,1,0.2044444444444444,0.0382978723404255,0.0042553191489361
10154,ACK,12478,JFK,308,293,99,15,0,0.3378839590443686,0.0487012987012987,0.0
10154,ACK,12953,LGA,407,390,83,16,1,0.2128205128205128,0.0393120393120393,0.0024570024570024
10154,ACK,13930,ORD,27,24,14,3,0,0.5833333333333334,0.1111111111111111,0.0
10154,ACK,14100,PHL,83,73,38,10,0,0.5205479452054794,0.1204819277108433,0.0
10155,ACT,10599,BHM,1,1,1,0,0,1.0,0.0,0.0
10155,ACT,11298,DFW,1089,1038,229,50,1,0.220616570327553,0.0459136822773186,0.0009182736455463
10157,ACV,11292,DEN,361,354,59,1,6,0.1666666666666666,0.002770083102493,0.0166204986149584
10157,ACV,12892,LAX,367,366,47,1,0,0.1284153005464481,0.0027247956403269,0.0
10157,ACV,14771,SFO,1257,1237,333,17,3,0.269199676637025,0.0135242641209228,0.0023866348448687
10158,ACY,11697,FLL,530,528,67,2,0,0.1268939393939394,0.0037735849056603,0.0
10158,ACY,13204,MCO,782,775,122,6,1,0.1574193548387096,0.0076726342710997,0.0012787723785166
10158,ACY,13303,MIA,27,27,2,0,0,0.074074074074074,0.0,0.0
10158,ACY,13577,MYR,195,192,31,3,0,0.1614583333333333,0.0153846153846153,0.0
